"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/01/2023";"0000";"20,7";"85,0";"926,2";"2,1";"80,0";"3,8";"";"27,4";"";""
"01/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"1200";"24,1";"63,0";"926,9";"1,5";"40,0";"8,8";"";"";"18,8";"8,0"
"01/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"01/01/2023";"1800";"24,2";"78,0";"924,3";"5,1";"160,0";"0,0";"";"";"";""
"01/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0000";"20,5";"86,0";"925,4";"4,1";"160,0";"6,3";"";"29,1";"";""
"02/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"1200";"25,0";"60,0";"924,5";"3,1";"350,0";"3,8";"";"";"19,7";"0,0"
"02/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"02/01/2023";"1800";"24,2";"75,0";"920,4";"8,7";"160,0";"8,8";"";"";"";""
"02/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0000";"23,5";"60,0";"921,8";"3,6";"60,0";"6,3";"";"26,2";"";""
"03/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"1200";"22,6";"76,0";"921,8";"5,1";"350,0";"6,3";"";"";"21,1";"0,0"
"03/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"03/01/2023";"1800";"25,4";"65,0";"919,4";"5,7";"50,0";"8,8";"";"";"";""
"03/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0000";"21,3";"86,0";"921,4";"3,1";"320,0";"8,8";"";"24,3";"";""
"04/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"1200";"23,2";"75,0";"921,0";"5,7";"330,0";"8,8";"";"";"21,0";"2,0"
"04/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"04/01/2023";"1800";"21,2";"88,0";"919,5";"2,1";"250,0";"10,0";"";"";"";""
"04/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"05/01/2023";"0000";"17,3";"93,0";"922,2";"4,6";"170,0";"10,0";"";"";"";""
"05/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"05/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"05/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"05/01/2023";"1200";"16,6";"94,0";"923,9";"4,1";"180,0";"10,0";"";"";"16,7";"16,0"
"05/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"05/01/2023";"1800";"17,9";"92,0";"923,6";"5,1";"190,0";"10,0";"";"";"";""
"05/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"06/01/2023";"0000";"16,5";"92,0";"925,4";"6,2";"160,0";"10,0";"";"";"";""
"06/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"06/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"06/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"06/01/2023";"1200";"17,3";"79,0";"927,4";"4,1";"140,0";"10,0";"";"";"16,2";"1,0"
"06/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"06/01/2023";"1800";"16,6";"83,0";"927,1";"4,1";"130,0";"8,8";"";"";"";""
"06/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"07/01/2023";"0000";"15,9";"95,0";"928,7";"4,6";"150,0";"8,8";"";"18,7";"";""
"07/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"07/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"07/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"07/01/2023";"1200";"17,9";"79,0";"929,1";"4,6";"140,0";"8,8";"";"";"15,8";"2,0"
"07/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"07/01/2023";"1800";"17,3";"83,0";"928,3";"5,7";"150,0";"10,0";"";"";"";""
"07/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"08/01/2023";"0000";"17,0";"85,0";"928,8";"4,1";"160,0";"10,0";"";"22,1";"";""
"08/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"08/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"08/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"08/01/2023";"1200";"19,6";"78,0";"928,5";"3,1";"120,0";"10,0";"";"";"16,6";"0,0"
"08/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"08/01/2023";"1800";"20,0";"84,0";"926,5";"6,2";"160,0";"8,8";"";"";"";""
"08/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"09/01/2023";"0000";"18,1";"92,0";"927,1";"5,1";"160,0";"10,0";"";"21,2";"";""
"09/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"09/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"09/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"09/01/2023";"1200";"19,2";"85,0";"926,7";"3,1";"160,0";"10,0";"";"";"17,3";"0,0"
"09/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"09/01/2023";"1800";"21,2";"78,0";"925,0";"5,1";"160,0";"10,0";"";"";"";""
"09/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"10/01/2023";"0000";"18,9";"90,0";"926,1";"3,6";"140,0";"10,0";"";"25,4";"";""
"10/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"10/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"10/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"10/01/2023";"1200";"20,6";"87,0";"925,7";"2,6";"20,0";"10,0";"";"";"18,7";"0,3"
"10/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"10/01/2023";"1800";"25,4";"69,0";"924,0";"1,0";"10,0";"8,8";"";"";"";""
"10/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"11/01/2023";"0000";"20,0";"94,0";"925,0";"1,5";"160,0";"8,8";"";"25,9";"";""
"11/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"11/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"11/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"11/01/2023";"1200";"21,2";"85,0";"925,8";"4,6";"340,0";"8,8";"";"";"19,5";"10,0"
"11/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"11/01/2023";"1800";"24,8";"65,0";"922,8";"5,1";"330,0";"8,8";"";"";"";""
"11/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
"12/01/2023";"0000";"23,3";"73,0";"923,4";"1,5";"10,0";"5,0";"";"27,0";"";""
"12/01/2023";"0300";"";"";"";"";"";"";"";"";"";""
"12/01/2023";"0600";"";"";"";"";"";"";"";"";"";""
"12/01/2023";"0900";"";"";"";"";"";"";"";"";"";""
"12/01/2023";"1200";"22,1";"82,0";"923,2";"4,6";"340,0";"6,3";"";"";"18,2";"16,0"
"12/01/2023";"1500";"";"";"";"";"";"";"";"";"";""
"12/01/2023";"1800";"27,0";"58,0";"920,2";"4,1";"330,0";"7,5";"";"";"";""
"12/01/2023";"2100";"";"";"";"";"";"";"";"";"";""
