"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/01/2024";"0000";"19,1";"79,0";"926,0";"5,1";"120,0";"8,8";"";"23,7";"";""
"01/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"1200";"20,7";"72,0";"925,9";"3,6";"120,0";"10,0";"";"";"18,4";"0,0"
"01/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"01/01/2024";"1800";"23,2";"66,0";"923,7";"4,1";"150,0";"8,8";"";"";"";""
"01/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0000";"20,0";"83,0";"924,9";"4,6";"150,0";"8,8";"";"26,9";"";""
"02/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"1200";"22,9";"68,0";"923,9";"2,1";"90,0";"5,0";"";"";"19,8";"0,0"
"02/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"02/01/2024";"1800";"23,7";"71,0";"921,5";"7,2";"160,0";"6,3";"";"";"";""
"02/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"03/01/2024";"0000";"20,8";"79,0";"923,2";"4,1";"120,0";"7,5";"";"29,9";"";""
"03/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"03/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"03/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"03/01/2024";"1200";"25,0";"69,0";"922,5";"1,5";"30,0";"2,5";"";"";"20,3";"0,0"
"03/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
"03/01/2024";"1800";"22,7";"88,0";"920,8";"7,7";"180,0";"10,0";"";"";"";""
"03/01/2024";"2100";"";"";"";"";"";"";"";"";"";""
"04/01/2024";"0000";"21,4";"81,0";"922,7";"3,6";"220,0";"7,5";"";"24,2";"";""
"04/01/2024";"0300";"";"";"";"";"";"";"";"";"";""
"04/01/2024";"0600";"";"";"";"";"";"";"";"";"";""
"04/01/2024";"0900";"";"";"";"";"";"";"";"";"";""
"04/01/2024";"1200";"21,4";"91,0";"923,1";"3,6";"200,0";"10,0";"";"";"19,5";"0,4"
"04/01/2024";"1500";"";"";"";"";"";"";"";"";"";""
